0.447368, -0.696629, 0.006466, 5.594891
0.452955, -0.696593, 0.006467, 5.594902
0.458441, -0.696558, 0.006467, 5.594913
0.464154, -0.696521, 0.006467, 5.594924
0.469766, -0.696485, 0.006468, 5.594935
0.475336, -0.696450, 0.006468, 5.594946
0.480925, -0.696414, 0.006468, 5.594957
0.486526, -0.696378, 0.006469, 5.594968
0.492018, -0.696343, 0.006469, 5.594978
0.497733, -0.696306, 0.006469, 5.594989
0.503379, -0.696270, 0.006470, 5.595000
0.508795, -0.696235, 0.006470, 5.595010
0.514411, -0.696199, 0.006470, 5.595021
0.520304, -0.696161, 0.006471, 5.595032
0.525903, -0.696125, 0.006471, 5.595043
0.531302, -0.696091, 0.006471, 5.595053
0.537010, -0.696054, 0.006472, 5.595064
0.542477, -0.696019, 0.006472, 5.595075
0.548213, -0.695982, 0.006472, 5.595085
0.553759, -0.695947, 0.006473, 5.595096
0.559234, -0.695912, 0.006473, 5.595106
0.564971, -0.695875, 0.006473, 5.595117
0.570578, -0.695839, 0.006474, 5.595127
0.576147, -0.695803, 0.006474, 5.595138
0.581531, -0.695768, 0.006474, 5.595148
0.587124, -0.695733, 0.006475, 5.595158
0.592769, -0.695696, 0.006475, 5.595169
0.598431, -0.695660, 0.006475, 5.595179
0.604024, -0.695624, 0.006476, 5.595190
0.609784, -0.695587, 0.006476, 5.595200
0.615435, -0.695551, 0.006476, 5.595211
0.620725, -0.695517, 0.006477, 5.595220
0.626448, -0.695480, 0.006477, 5.595231
0.632154, -0.695444, 0.006477, 5.595241
0.637599, -0.695409, 0.006478, 5.595251
0.643219, -0.695372, 0.006478, 5.595261
0.648903, -0.695336, 0.006478, 5.595272
0.654330, -0.695301, 0.006479, 5.595282
0.659985, -0.695265, 0.006479, 5.595292
0.665655, -0.695228, 0.006479, 5.595302
0.671231, -0.695193, 0.006480, 5.595312
0.676758, -0.695157, 0.006480, 5.595322
0.682272, -0.695122, 0.006480, 5.595332
0.687977, -0.695085, 0.006481, 5.595342
0.693447, -0.695050, 0.006481, 5.595352
0.699063, -0.695014, 0.006481, 5.595362
0.704778, -0.694977, 0.006482, 5.595372
0.710227, -0.694942, 0.006482, 5.595382
0.716013, -0.694905, 0.006482, 5.595392
0.721538, -0.694869, 0.006483, 5.595402
0.727121, -0.694834, 0.006483, 5.595412
0.732723, -0.694798, 0.006483, 5.595421
0.738331, -0.694762, 0.006484, 5.595431
0.743802, -0.694726, 0.006484, 5.595441
0.749517, -0.694690, 0.006484, 5.595451
0.755012, -0.694654, 0.006485, 5.595461
0.760593, -0.694618, 0.006485, 5.595470
0.766294, -0.694582, 0.006485, 5.595480
0.771879, -0.694546, 0.006486, 5.595490
0.777394, -0.694510, 0.006486, 5.595499
0.783185, -0.694473, 0.006486, 5.595509
0.788678, -0.694438, 0.006487, 5.595519
0.794166, -0.694403, 0.006487, 5.595528
0.799886, -0.694366, 0.006487, 5.595538
0.805460, -0.694330, 0.006488, 5.595548
0.811047, -0.694294, 0.006488, 5.595557
0.816631, -0.694258, 0.006488, 5.595567
0.822149, -0.694223, 0.006489, 5.595576
0.827871, -0.694186, 0.006489, 5.595586
0.833334, -0.694151, 0.006489, 5.595595
0.839164, -0.694113, 0.006490, 5.595605
0.844711, -0.694077, 0.006490, 5.595614
0.850328, -0.694041, 0.006490, 5.595624
0.855794, -0.694006, 0.006491, 5.595633
0.861284, -0.693971, 0.006491, 5.595642
0.866980, -0.693934, 0.006491, 5.595651
0.872607, -0.693898, 0.006492, 5.595661
0.878203, -0.693862, 0.006492, 5.595670
0.883990, -0.693825, 0.006492, 5.595680
0.889301, -0.693791, 0.006493, 5.595689
0.894901, -0.693755, 0.006493, 5.595698
0.900574, -0.693718, 0.006493, 5.595707
0.906161, -0.693682, 0.006494, 5.595716
0.911787, -0.693646, 0.006494, 5.595726
0.917285, -0.693610, 0.006494, 5.595735
0.922857, -0.693575, 0.006495, 5.595744
0.928565, -0.693538, 0.006495, 5.595753
0.934145, -0.693502, 0.006495, 5.595762
0.939748, -0.693466, 0.006496, 5.595771
0.945330, -0.693430, 0.006496, 5.595780
0.950928, -0.693394, 0.006496, 5.595789
0.956549, -0.693358, 0.006497, 5.595798
0.962031, -0.693322, 0.006497, 5.595807
0.967755, -0.693285, 0.006497, 5.595816
0.973308, -0.693250, 0.006498, 5.595825
0.978810, -0.693214, 0.006498, 5.595834
0.984444, -0.693178, 0.006498, 5.595843
0.990005, -0.693142, 0.006499, 5.595852
0.995739, -0.693105, 0.006499, 5.595861
1.001209, -0.693070, 0.006499, 5.595870
1.006932, -0.693033, 0.006500, 5.595879
1.012498, -0.692997, 0.006500, 5.595888
1.018060, -0.692961, 0.006500, 5.595897
1.023581, -0.692926, 0.006501, 5.595905
1.029269, -0.692889, 0.006501, 5.595914
1.034902, -0.692853, 0.006501, 5.595923
1.040480, -0.692817, 0.006502, 5.595932
1.045962, -0.692782, 0.006502, 5.595940
1.051727, -0.692744, 0.006502, 5.595949
1.057144, -0.692710, 0.006503, 5.595958
1.062867, -0.692673, 0.006503, 5.595966
1.068360, -0.692637, 0.006503, 5.595975
1.074112, -0.692600, 0.006504, 5.595984
1.079552, -0.692565, 0.006504, 5.595992
1.085377, -0.692528, 0.006504, 5.596001
1.090725, -0.692493, 0.006505, 5.596009
1.096451, -0.692456, 0.006505, 5.596018
1.102092, -0.692420, 0.006505, 5.596027
1.107850, -0.692383, 0.006506, 5.596036
1.113099, -0.692349, 0.006506, 5.596044
1.118942, -0.692311, 0.006506, 5.596052
